unique_id,date,model,company,type,rating,price,battery_health
135246873202208,2022-10-28,Galaxy 4,Samsung,android,3.0,1471.0,72.09
135246873206768,2022-12-07,Galaxy 4,Samsung,android,1.0,1109.0,58.54
135246873202544,2022-02-21,Galaxy 4,Samsung,android,1.9647733194372068,747.0,84.26
135246873203648,2022-03-20,Galaxy 5,Samsung,android,2.0,1476.0,61.28
135246873198848,2022-04-09,Galaxy 4,Samsung,android,1.0,636.0,64.57
135246873202592,2022-10-22,Galaxy 4,Samsung,android,3.0,936.0,64.89
135246873205856,2022-07-23,Galaxy 5,Samsung,android,2.0,1000.0,78.9
135246873206432,2022-03-22,Galaxy 4,Samsung,android,3.0,1206.0,57.77
135246873198992,2022-07-23,Galaxy 4,Samsung,android,3.0,887.0,40.32
135246873200384,2022-07-02,Galaxy 4,Samsung,android,2.0,1051.0,72.18
135246873199424,2022-04-28,Galaxy 4,Samsung,android,1.9647733194372068,610.0,46.47
135246873206288,2022-07-05,Galaxy 4,Samsung,android,2.0,609.0,76.56
135246873201968,2022-05-28,Galaxy 4,Samsung,android,3.0,513.0,80.65
135246873205808,2022-10-14,Pixel 4,Google,android,1.0,1139.0,82.7
135246873200528,2022-03-28,Galaxy 5,Samsung,android,1.0,1176.0,70.47
135246873205424,2022-03-24,Galaxy 4,Samsung,android,3.0,1420.0,86.55
135246873202736,2022-03-31,Galaxy 4,Samsung,android,2.0,1045.0,82.77
135246873200576,2022-06-11,Pixel 5,Google,android,1.0,921.0,56.62
135246873200144,2022-07-12,Galaxy 4,Samsung,android,2.0,1188.0,88.38
135246873198800,2022-04-23,Galaxy 4,Samsung,android,3.0,699.0,77.12
135246873200192,2022-06-02,Pixel 5,Google,android,2.0,818.0,88.78
135246873202400,2022-04-13,Galaxy 4,Samsung,android,1.0,1024.0,76.61
135246873204992,2022-05-14,Galaxy 4,Samsung,android,2.0,737.0,87.98
135246873205232,2022-05-26,Galaxy 4,Samsung,android,2.0,1028.0,89.71
135246873205040,2022-07-29,Galaxy 4,Samsung,android,1.0,1133.0,67.24
135246873206480,2022-06-13,Galaxy 5,Samsung,android,2.0,912.0,78.19
135246873202688,2022-07-26,Galaxy 5,Samsung,android,2.0,1186.0,64.57
135246873205088,2022-05-02,Galaxy 6,Samsung,android,3.0,895.0,82.71
135246873206000,2022-06-01,Pixel 5,Google,android,2.0,524.0,89.66
135246873206864,2022-04-06,Galaxy 4,Samsung,android,1.0,627.0,79.06
135246873200480,2022-02-18,Galaxy 5,Samsung,android,1.0,972.0,78.97
135246873200288,2022-05-14,Galaxy 4,Samsung,android,2.0,847.0,81.1
135246873206192,2022-03-12,Galaxy 4,Samsung,android,2.0,1017.0,79.87
135246873199328,2022-08-12,Pixel 5,Google,android,1.0,858.0,57.99
135246873202160,2022-06-01,Galaxy 4,Samsung,android,1.0,1058.0,84.1
135246873205904,2022-06-21,Galaxy 4,Samsung,android,3.0,861.0,57.61
135246873207536,2022-08-14,Galaxy 5,Samsung,android,2.0,1247.0,80.1
135246873206144,2022-04-13,Galaxy 5,Samsung,android,1.0,733.0,53.73
135246873207632,2022-09-15,Pixel 4,Google,android,3.0,1317.0,84.71
135246873207584,2022-04-08,Pixel 5,Google,android,3.0,643.0,80.53
135246873207488,2022-10-27,Galaxy 6,Samsung,android,3.0,1067.0,84.11
135246873207440,2022-10-21,Galaxy 4,Samsung,android,1.0,567.0,83.47
135246873203552,2022-08-23,Galaxy 5,Samsung,android,1.0,1005.0,81.29
135246873198896,2022-12-15,Galaxy 4,Samsung,android,3.0,1102.0,89.21
135246873200336,2022-05-29,Pixel 5,Google,android,1.0,587.0,61.51
135246873200096,2022-08-17,Galaxy 4,Samsung,android,1.0,1003.0,64.7
